name,image,serving_size,prep_time_in_mins,cook_time_in_mins,ingredients,instructions,is_vegetarian,is_breakfast,is_lunch,is_snack,is_dinner,energy_per_serving_kcal,carbohydrate_per_serving_g,protein_per_serving_g,fat_per_serving_g,fiber_per_serving_g
Alu Bhorrta,https://veganbangla.com/wp-content/uploads/2020/06/fullsizeoutput_ba0-1.jpeg?w=1024,6,30,30,"400g Potatoes,1 big Onion,2 tbs fine Salt,60ml Bangladeshi Mustard Oil,Dried Chili – as desired,20ml Vegetable Oil to fry","1. Cut potatoes in half or in quarter if they are too big, wash and boil them with 1tbs salt until soft.
2. Warm vegetable oil in a fry-pan, roast dried chili with their stalk on until they change color. Take them out of heat and keep separately.
3. In the same pan, add very thinly sliced onion and fry them until golden brown. When done, lay them on a plate thinly to get cooled and crumbly.
4. When fried onions and chili are cooled down, mash and crumble them with a tablespoon of salt.
5. Now add boiled and peeled potatoes. Break and mix them with fried onions, chili and salt, until well combined. Check salt and add more if needed.
Your Alu Bhorrta or Bangla mashed potato is ready. Garnish with fresh coriander leaves and serve with warm rice!",1,0,1,0,1,181,16,2,12,2
Peper Jhol,https://veganbangla.com/wp-content/uploads/2023/02/fullsizeoutput_25b3.jpeg?w=900,5,10,40,"1 big green papaya,4-5 big potatoes,1 big onion,1 Tsp Turmeric powder,1 tsp ginger garlic paste,1 tsp coriander powder,1 tsp cumin powder ,1 tsp Nigella seeds,1 tbsp salt1 bay leaf,Green Chilies to taste,oil","1. Peel papaya and carefully take out all seeds and white parts from inside. Slice them in 1 inches cube. Peel potatoes and cut in same sized pieces like papaya.
2. Heat vegetable oil in medium temperature and add nigella seeds when oil is warm.
3. Add onion and cook until slightly golden.
4. Add ginger garlic paste, turmeric, cumin and coriander powder and stir them all together. Add some water to stop burning. Cook spices until oil floats over and raw spices goes away.
5. Add cubed potatoes and cook until they are slightly toasted. Then add cubed papaya. Mix with spices well.
6. Add 1 litre of warm water. Cover and let it cook for 15min in medium heat.
7. Check after 15 min if the veggies are cooked. Add more water if necessary. Adjust salt.
Serve with plain rice or eat as it is.",1,0,1,0,1,188,36,5,4,6
Alu Mular Shiter Torkari,https://veganbangla.com/wp-content/uploads/2023/06/fullsizeoutput_272a.jpeg?w=900,6,10,35,"1 Half Chinese Radish,4 Medium Potatoes,Half a cauliflower,Edamame beans as desired,40ml Vegetable Oil,1 big onion,1tbs fine Salt,1tsp Turmeric powder,1tsp Coriander powder,1tsp Cumin powder,1tsp Chili powder,1tsp Ginger Paste (or Ginger powder),1tsp,Garlic Paste (or Garlic powder),2-3 green Chili (optional),Fresh Coriander leaves (optional)","1. Wash and slice potatoes, cauliflowers and radish into 2cm (you can keep potato skin on if you like).
2. Heat 2 table spoon of oil in a wok or skillet. Add sliced onion and cook until golden brown.
3. Add ginger garlic paste, cumin, coriander, turmeric and chili powder to the pan and cook for 1o-15 seconds. Then add water to cook the spices until the oil floats or gets separated.
4. When spices get cooked, add potato, salt and give them a very good stir until they are mixed well with cooked spice. Stir for 5 minutes to slightly toast them. Add radish and slightly toast them in the same way for 5 more minutes.
5. Now add cauliflower and beans and just enough water to cover all veggies. Let them simmer in medium high heat til the gravy is in desired consistency.
Garnish your curry with coriander leaves or ground cumin powder as per desire. and Enjoy with rice or bread!",1,0,1,0,1,166,27,6,5,6
Daal Borar torkary,https://veganbangla.com/wp-content/uploads/2022/09/fullsizeoutput_2160.jpeg?w=900,6,60,30,"Half of a big head of Cauliflower,2-3 medium Potatoes,250g Red Lentil or Moshur Daal,100ml Vegetable Oil,1tsp Nigella Seeds,1-2 Bay leaves,2-3 Dry Red Chili,2-3 Green Chili,3tbs fine Salt,1tsp Turmeric powder,1tsp Coriander powder,1tsp Cumin powder,1tsp Chili powder,1tsp Ginger Paste (or Ginger powder),Fresh Coriander leaves to taste","1. Wash cauliflower and pat them dry. Cut into medium florets. Cut potatoes in wedges.
2. Wash lentils 5-6 times, and soak them in lukewarm water for 1 hour. After 1 hour, drain them and blend lentil to a course paste with 1/2 tsp salt and turmeric powder.
3. Heat oil in a heavy bottom pan. Scoop lentil paste with a help of spoon and fry them as a small bite size patty. When both sides are fried, set them aside.
4. Shallow fry cauliflower until they are golden. Set them aside. Same way, fry potatoes.
5. In the same pan, add nigella seeds, dry chili and bay leaves. When they starts popping, add all dry spices and ginger paste. Add a dash of water and cook in low heat until they release oil.
6. Add shallow fried potatoes, coat them well with spices and cook for about 2 minutes. Add 50ml water to cook potatoes.
7. When potatoes are cooked, add cauliflower, green chili and lentil patties. Add 100ml or just enough water to cover the veggies. Cook for 10-15 minutes with lid on low-medium heat and check them once in a while but do not stir them, as cauliflowers break very easily. Check salt and add more if needed.
7. When the curry gravy is at your desired consistency, turn off heat and serve in bowl! Optionally add fresh coriander leaves as garnish!
Serve with rice, flat bread, naan bread or toast!",1,0,1,0,1,199,23,7,10,7
Echorer Torkari ,https://veganbangla.com/wp-content/uploads/2022/08/fullsizeoutput_1e0a.jpeg?w=900,2,5,30,"250g of canned Jack-fruit,20ml Vegetable Oil,2 medium white onion,1tbs fine Salt,1tsp Turmeric powder,1tsp Coriander powder,1tsp Cumin powder,1tsp Chili powder,1tsp Gorom Moshla,1tsp Ginger Paste (or Ginger powder),1tsp Garlic Paste (or Garlic powder),2-3 Chili (optional),1 stick of Cinnamon,2-3 Cardamom,1 Bay leaf","1. Heat 2 table spoon of oil in a wok or skillet. Add cinnamon, cardamom and bay leaf and let them cook until they start bubbling.
2. Add sliced onions and fry until golden brown. Add salt to soften onion.
3. When onions are golden brown, add ginger garlic paste and all the dry spices. Add splash of water to avoid burning. Cook all the spices until the oil starts to separate and float.
4. Add drained jack-fruits and give them a very good stir until they are mixed well with cooked spice. Let them cook for 5 minutes each side.
5. When fried with spices, mash the jack-fruits with spatual. Continue to cook, Add water if needed.
8. Simmer curry til the gravy is in desired consistency.
Garnish your curry with coriander leaves or ground cumin powder as per desire. and Enjoy with rice or bread!",1,0,1,0,1,258,49,5,7,6
Phulkopir Rosha ,https://veganbangla.com/wp-content/uploads/2020/09/fullsizeoutput_17a9.jpeg?w=900,5,5,30,"1 big head of Cauliflower,2 medium Potatoes,100g Muug Daal,3 tbs Tomato paste or 1 big tomato,20ml Vegetable Oil,1tsp Cumin Seeds,1-2 Bay leaves,2 Green Chili,1tbs fine Salt,1tsp Turmeric powder,1tsp Coriander powder,1tsp Cumin powder,1tsp Chili powder,1tsp Ginger Paste (or Ginger powder)","1. Wash cauliflower and pat them dry. Cut into medium florets. Cut potatoes in big chunk.
2.In a small bowl, make a spice blend of ginger paste, coriander, chili, cumin powder with 2-3 table spoon of water.
3. Heat a fry pan and dry roast muug daal, stirring continuously until they release nice fragrance and got reddish brown. Then wash them well 2-3 times and soak them in water until needed.
4. Meanwhile, heat oil in a heavy bottom pan. Shallow fry cauliflower until they are golden. Set them aside. In the same pan shallow fry potatoes with salt, turmeric powder until until golden brown.
5. In the same pan, add cumin seeds, bay leaves and let them cook until starts popping.
4. Then add spice mix and cook in low heat until they release oil. Add tomato paste or tomato chunks in the spice, add water and cook to a smooth spice paste.
5. Add shallow fried potatoes, cauliflower and soaked muug daal. Coat them well with spices and cook for about 2 minutes.
6. Add 100ml or just enough water to cover the veggies. Cook for 10-15 minutes with lid on low-medium heat and check them once in a while but do not stir them, as cauliflowers break very easily. Check salt and add more if needed.
7. When the curry gravy is at your desired consistency, turn off heat and serve in bowl! Optionally add fresh coriander leaves as garnish!
Serve with rice, flat bread, naan bread or toast!",1,0,1,0,1,202,36,11,4,10
Phulkopir Phulkari,https://veganbangla.com/wp-content/uploads/2020/09/fullsizeoutput_16d6.jpeg?w=900,5,5,30,"1 big head of Cauliflower,2 medium Potatoes,1 can Coconut milk or Coconut paste,40ml Vegetable Oil,1tsp Cumin Seeds,2 Bay leaves,2 Dried Chili,2 Green Chili,1tbs fine Salt,1tsp Turmeric powder,1tsp Coriander powder,1tsp Cumin powder,1tsp Chili powder,1tsp,Ginger Paste (or Ginger powder),Gorom Moshla to sprinkle","1. Wash cauliflower and pat them dry. Cut into medium florets and coat with turmeric powder and salt.
2. Heat 2 table spoon of oil in a wok or medium pot. Shallow fry cauliflower until they are golden. Set them aside.
3. Add cumin seeds, bay leaves, dried chili and let them cook until they release fragrance.
4. Then add potatoes and turmeric powder and fry/cook them until they are nicely roasted.
5. Now add green chili, ginger paste, chili, cumin and coriander powder. Let the spices cook for 5 minutes (or up until the oil starts to separate and float).
5. Add 100ml or just enough water to cook potatoes. Cover and simmer until potatoes are 80% soft and they absorbed all water.
6. Add fried cauliflower and give them a light stir until they are mixed well with cooked spice. Add 50ml water, cover and let them cook for few minutes.
7. Finally add coconut milk or coconut paste and simmer curry til the gravy is in desired consistency. Check salt and add more if needed. At last, sprinkle gorom moshla to the top!
Serve with rice, polao or flat bread!",1,0,1,0,1,335,28,8,25,8
Alu Beguner Torkari,https://veganbangla.com/wp-content/uploads/2020/06/fullsizeoutput_bfb.jpeg?w=900,4,5,35,"1 Medium Aubergine,5 Medium Potatoes,40ml Vegetable Oil,1tbs fine Salt,1tsp Turmeric powder,1tsp Coriander powder,1tsp Cumin powder,1tsp Chili powder,1tsp Ginger Paste (or Ginger powder),1tsp Black Cumin (Nigella Seed),2-3 Chili (optional)","1. Wash and cube potatoes and aubergines into 2cm (you can keep potato skin on if you like).
2. Heat 2 table spoon of oil in a wok or skillet. Shallow fry potatoes and aubergine until they are golden. Set them aside.
3. Add black cumin (nigella seeds) and let them cook until they start bubbling. Meanwhile, make a paste with all the dry spices and ginger paste.
4. Add spice paste to bubbling nigella seeds and let the spice cook for 5 minutes (or up until the oil starts to separate and float).
5. Add fried potato, salt and give them a very good stir until they are mixed well with cooked spice. Add 50ml water, cover and let them cook for 5 minutes.
6. Then add aubergine and stir them until they are coated well with the spices.
7. Now add 100 ml water or just enough to cover the veggies. Cover pot with lid and cook until the veggies are soft and cooked.
8. Simmer curry til the gravy is in desired consistency.
Garnish your curry with coriander leaves or ground cumin powder as per desire. and Enjoy with rice or bread!",1,0,1,0,1,225,40,5,6,8
Pachmishali Sobjir Torkari,https://veganbangla.com/wp-content/uploads/2020/05/fullsizeoutput_755.jpeg?w=900,6,10,25,"1 Medium Cauliflower head,4 Big Potatoes,200 gr Edamame beans,200 gr Long beans,40ml Vegetable Oil,1tbs fine Salt,1tsp Turmeric powder,2-3 Chili (optional),1tbs Pach Phoron (mix of cumin, fennel, fenugreek, nigella, mustard seeds)","1. Cut potato into 2cm cubes (you can keep potato skin on if you like) and cauliflowers in big floret.
2. Heat oil in a wok or big pot, put Pach Phoron and let them start bubbling a bit.
3. Add potato, salt and turmeric powder in the pot and give them a very good stir until they are roasted well and changes color.
4. Then add cauliflower florets and stir them until they are coated well with the spices and little bit roasted.
5. Now add 100 ml water, cover pot with lid and boil the veggies until they are translucent.
6. Now add beans, let the veggies simmer a bit til your desired stew consistency.
6. Garnish your curry with coriander leaves or ground cumin powder as per desire. and Enjoy with rice or bread!",1,0,1,0,1,228,36,10,6,8
Labra,https://veganbangla.com/wp-content/uploads/2020/05/fullsizeoutput_84a.jpeg?w=900,6,15,30,"Root Vegetables: Peeled and diced in 2cm,4 medium potatoes,1 big sweet potato,500g carrots(you can add same amount of pumpkin, butternut, turnip),Other veggies:1 big Cauliflower/ Broccoli – Chopped in big florets,1/2 cup Edamame beans/peas,1/2 cup Long,Beans/Flat beans,1 big Aubergine – Diced in 4cm long and 2cm thick,3 medium Tomatoes – Diced in quarters,30ml Vegetable Oil,1 inches Ginger – roughly minced ,2 tsp fine Salt,2-3 dried Chili ,1 tsp Turmeric powder,1 Bay leaf,1 tbs Pach Phoron (seed mix of nigella, cumin, fenugreek, anis and mustard —  you can use either of them if you don’t have Pach Phoron at home)","1. In a large pot or wok, heat the oil over medium-high heat. Add the aubergine and fry until golden brown, about 4 minutes. Set them aside.
2. Reduce heat to low. First add minced ginger, dried chili, bay leaf and after 10 seconds, add pach phoron.
3. When the spices start to bubble after few seconds, add diced root veggies (potatoes, carrots, sweet potatoes), salt and turmeric powder. Stir fry them until golden.
4. Add 100 ml water and raise the heat to medium high to boil them for 10 minutes until they are tender and waters are evaporated.
5. Add cauliflower/broccoli and beans. Stir to evenly incorporate all the spices for a minute. Add 50ml water, cover the pot with lid and simmer veggies over medium heat for 6-8 minutes. Do not stir them if you want a good texture.
6. Add tomato and fried aubergine on top. Cover with lid and simmer for 5 more minutes. Check salt to taste.
Serve warm with rice, ruti or naan. Enjoy!",1,0,1,0,1,271,52,10,5,13
Alu Begun Bhadhakopi Torkari,https://veganbangla.com/wp-content/uploads/2020/04/fullsizeoutput_5ea.jpeg?w=900,4,10,25,"1 Medium Aubergine (also called Brinjal or Eggplant),4 Big Potato,1/4th of a Medium Cabbage head,40ml Vegetable Oil,1big Onion,1tbs fine Salt,1tsp Ginger paste,1tsp Garlic paste,1tsp Turmeric powder,1tsp Gorom Moshla powder,1tsp Chili powder,1tsp Cumin powder,1tsp Coriander powder,2-3 Chili (optional)","1. Slice onion, cut aubergine, cabbage leaves and potato into big cubes (you can keep potato skin on if you like).
2. Heat oil in a wok or big pot, put salt and onion when oil is warm. Fry the onion until golden brown. Add rest of the spices and cook until oil floats.
3. Add potato in the cooked gravy and stir the potatoes until they are little fried and changes color. Then add 100 ml water and boil the potato until half cooked.
4. Now add aubergine and cabbage (or other soft veggies) and stir until they change color.
5. Add 100ml water and cover the pot. Boil the curry until desired consistency.
6. Garnish your curry with coriander leaves or ground cumin as per desire. and Enjoy!",1,0,1,0,1,265,49,7,6,10
Misti Kumra Cholar Daal er Niramish,https://veganbangla.com/wp-content/uploads/2022/11/fullsizeoutput_23b1.jpeg?w=900,6,10,25,"3 cup Pumpkin,1 cup Chickpea (dried and soaked or canned),1 tsp Ginger paste,1 tsp Coriander paste/powder,1/4tsp Black pepper paste/powder,1 tsp turmeric paste/powder,1 tsp chili paste/powder,1 Bay leaf,1/2 teaspoon cumin seed,1/4 teaspoon of Turmeric powder,5 Green Chili,2 Sliced onion ,2 teaspoon Cumin Powder,1/3rd Cup Vegetable oil,1teaspoon Salt","1. Soak dry chickpea overnight. Wash and then boil.
2. Peel and dice the pumpkins in big square chunks.
3. Take a medium deep pan and heat oil. Add sliced onion and fry. When slightly golden, add all spices like turmeric, chili, coriander, black pepper . Add 1/2 cup of water and cook until it starts to separate oil.
4. Add chickpea, salt and bayleaf and cook for few minutes.
5. Then add pumpkin chunks and green chili. Stir and coat them well with spices and cook for five minutes.
6. Add 2-3 cups of water and cook in medium heat until pumpkin gets softened.
7. Sprinkle cumin powder to the end.
When ready, serve with rice or hand made bread!",1,0,1,0,1,199,17,4,13,4
Daal,https://veganbangla.com/wp-content/uploads/2020/05/fullsizeoutput_7a0.jpeg?w=1024,6,5,20,"100g Muug Daal / Yellow Lentil (Vigna radiata),100g Mashur Daal/ Orange Lentil (Lens culinaris),50ml Vegetable Oil,1 big Onion – Sliced,1 inches Ginger – roughly minced,2-3 cloves of Garlic – Sliced,2 tsp fine Salt,2-3 dried Chili,1 tsp Turmeric powder,1 Bay leaf,1 tbs Pach Phoron","1. Wash lentils with lukewarm water for 7-8 times until waters come out clean.
2. Boil rinsed lentils in a medium pot along with double amount of water, salt and turmeric. Turn the heat to medium and allow the lentils to cook for 20 minutes. If the lentils are not properly boiled after 20 minutes, then use hand blender. Do not drain water.
3. Meanwhile, heat the oil in a frypan set over medium heat. Add the ginger, bay leaf and chili first, then garlic and pach phoron; cook for 10- 20 seconds, until they starts bubbling. Add onion and cook them until golden brown.
4. Now, scoop a ladle full of boiled lentil and pour them over fried onion mixture. Simmer for 10 seconds.
5. Pour the lentil- spice mixture to the pot with rest of the boiled lentil.
6. Simmer lentils for 5 to 6 minutes in low heat. You can add extra water if you want lentil more soupy.
Serve them hot with rice, ruti or naan. Enjoy!",1,0,1,0,1,210,20,9,9,5
Mashkolai Daal,https://veganbangla.com/wp-content/uploads/2023/05/fullsizeoutput_26f2.jpeg?w=1024,6,5,20,"120g Powdered Mashkolai Daal (Vigna Mungo),50ml Vegetable Oil,1 big Onion – Sliced,3-5 cloves of Garlic – Sliced,2 tsp fine Salt,1/4th tsp Turmeric powder,1 tsp whole cumin seeds","1. Take powdered black gram in a medium pot along with double amount of water. Also add salt and turmeric. Turn the heat to medium and allow black gram to cook for 20 minutes.
3. Meanwhile, heat the oil in a frypan set over medium heat. Add cumin seeds first, then garlic and onion and cook them until dark brown.
4. Now, scoop a ladle full of boiled black gram and pour them over fried onion mixture. Simmer for 10 seconds.
5. Pour the daal- spice mixture to the pot with rest of the boiled black gram.
6. Simmer daal for 5 to 6 minutes in low heat. You can add extra water if you want daal more soupy.
Serve them hot with rice, ruti or naan. Enjoy!",1,0,1,0,1,152,15,6,8,4
Chichinga Ghonto,https://veganbangla.com/wp-content/uploads/2020/09/fullsizeoutput_1599.jpeg?w=900,4,8,25,"2 Snake Gourd or Chichinga,2 Small Potatoes,100g Muug Daal,1 Dry red Chili,2 Green Chili,1 teaspoon Cumin seed,1 teaspoon Ginger Paste,1 teaspoon Turmeric powder,1 teaspoon Cumin Powder,20ml Vegetable oil,1 tablepoon Salt","1. Clean and shear the outer layer of chichinga. Cut in half moon shape, 2cm thick.
2. Cut potatoes in 1cm thick pieces.
3. Wash Muug Daal and soak it in warm water.
4. Warm oil in a pot and add potatoes, turmeric powder and salt. Shallow fry them until they are slightly roasted. Set them aside.
5. In the same pan, add cumin seed and dry chili. When they start bubbling, add sliced soaked and drained muug daal. Fry for few minutes and then add ginger paste, cumin powder. Let them cook until raw smell of ginger is gone.
6. Add roasted potatoes and 100ml of water. Simmer in low heat for few minutes covering them. Let them cook until potatoes are soft.
7. Add sliced chichinga. Stir fry for a minute in medium heat. Then cover the pan with lid and simmer for 10 minutes in low heat. Simmer until chichinga changes color and gets cooked.
Serve with rice or ruti!",1,0,1,0,1,180,27,8,6,6
Badhakopi Ghonto,https://veganbangla.com/wp-content/uploads/2020/08/fullsizeoutput_12fb.jpeg?w=900,4,8,25,"250g Cabbage,1 Onion,2 Cloves of Garlic,2 Fresh Chili,1 teaspoon Salt,1 teaspoon of Turmeric powder,10 ml of Oil ,Fresh Coriander leaves to taste","1. Wash and chop up the cabbage very fine. In a pot, add chopped cabbage, salt and turmeric powder and 50ml water. Mix everything well and cover the pot. Simmer under medium low heat.
2. After 8-10 minutes, uncover the pot. Check the bottom of the pan if they are getting stuck. Let dry all excess water. When cabbage is soft and all excess water is reduced, turn of heat and keep the steamed cabbage separately in a bowl.
3. In the same pot, add vegetable oil. When oil is hot, add chopped garlic. Cook until reddish and then add chopped onion. Cook until onion are golden brown.
4. Add steam cabbage to onion and garlic. Slice up green chili and add with cabbage. Mix everything well.
5. Check for salt and add more if you need. Chop some coriander leaves and add to cabbage.
Serve with rice,ruti or porota.",1,0,1,0,1,53,8,1,2,2
